カード名,色,レアリティ,分類,タイプ,コアコスト,コア総量,生成コア,ＡＴＫ,ＨＰ,コアレシオ,効果1,効果2,効果3,効果4,補足,画像ファイル名,読み
火走りドレイク,赤,コモン,ユニット,ドレイク,(赤),1,1,500,500,1.00,速攻（これは、あなたのコントロール下になってすぐに攻撃したり(T)能力を使ったりできる。）,これが死亡した時：１つを対象とする。これはそれに５００のダメージを与える。,-,-,火力はユニット・プレイヤーどちらも選べる。,r_hibashiri_drake.png,ひばしりどれいく
ヴァルグレイの萌芽,赤,コモン,ユニット,コボルト・市民,(1)(赤),2,1,0,500,0.25,これが登場した時：あなたのデッキの上からカード４枚を公開する。あなたは、その中からコボルト・ユニット・カード１枚をあなたの手札に加えてもよい。残りを望む順番でデッキの一番下に置く。,-,-,-,-,r_valgray_no_houga,ゔぁるぐれいのほうが
コボルトの歩哨,赤,コモン,ユニット,コボルト・戦士,(1)(赤),2,1,1000,1000,1.00,-,-,-,-,バニラ。,r_kobold_no_hoshou.png,こぼるとのほしょう
背水の勇士,赤,アンコモン,ユニット,ドラコニアン・戦士,(1)(赤),2,1,500,500,0.50,気炎（あなたがユニットでないカードを発動するたび：ターン終了時まで、これは＋５００/＋０の変動を受ける。）,脅威（これは２体以上のユニットによってしか防御されない。）,-,-,-,r_haisui_no_yuushi.png,はいすいのゆうし
鷹の目の弓士 マキナ,赤,アンコモン,エピック・ユニット,人間・射手,(1)(赤),2,1,500,1000,0.75,対空（これは飛行を持つユニットを防御できる。）,"(T),１０００のライフを支払う：１つを対象とする。これはそれに５００のダメージを与える。",-,-,火力はユニット・プレイヤーどちらも選べる。,r_takanome_no_kyuushi_makina,たかのめのきゅうしまきな
レッド・スピリット,赤,コモン,ユニット,精霊,(1)(赤),2,1,500,500,0.50,これが登場した時：ユニット１体を対象とする。これはそれに５００のダメージを与える。,(4)(赤)：あなたの墓地からこれをあなたの手札に戻す。,-,-,火力はユニット限定。出すだけでＨＰ５００のユニットを除去できるが、強制効果である為、場に他にユニットがいない場合は自身にダメージが入り自爆してしまう点には注意が必要。,r_red_spirit.png,れっどすぴりっと
バーニング・ドラゴン,赤,レア,ユニット,ドラゴン,(X)(赤)(赤),2～,0,500,500,,飛行、速攻,これは＋５００/＋５００カウンターＸ個が置かれた状態で登場する。,これが対戦相手がコントロールしているカードや能力の対象になるたび：１つを対象とする。これはそれに１５００のダメージを与える。,-,エクシード。Ｘを注ぎ込むほどスタッツ良。反撃ダメージはユニット・プレイヤーどちらも選べる。,r_burning_dragon.png,ばーにんぐどらごｎ
ヴァルグレイの戦士,赤,レア,ユニット,コボルト・戦士,(2)(赤),3,1,1000,1500,0.83,あなたがコントロールしている他のすべてのコボルトは＋５００/＋０の変動を受ける。,あなたのターン中に、あなたがコントロールしていてこれでないコボルト１体が死亡するたび：赤の５００/５００のコボルト・ユニット・トークン１体を生成する。この能力は、毎ターン1回しか誘発しない。,-,-,-,r_valgray_no_senshi.png,ゔぁるぐれいのせんし
ラグノールの略奪者,赤,アンコモン,ユニット,コボルト・無法者,(2)(赤),3,1,1500,500,0.67,無防備（これは防御に参加できない。）,"戦過 ― このターンにあなたがユニットで攻撃していた場合,あなたのターンの終了時：赤の５００/５００のコボルト・ユニット・トークン１体を生成する。",-,-,いずれかのユニットが攻撃している限り、毎ターン、コボルト・トークンを出せる。,r_ragnor_no_ryakudatsusha.png,らぐのーるのりゃくたつしゃ
レッド・インフェナル,赤,アンコモン,ユニット,インフェナル・しもべ,(2)(赤),3,1,1500,1000,0.83,これが使役された状態で攻撃するたび：ターン終了時まで、これは＋１０００/＋１０００の変動を受け、貫通を得る。（これは余剰の戦闘ダメージを、これが攻撃しているプレイヤーに与える。）,使役１０００（あなたがコントロールしていてこれでない望む数のユニットを、ＡＴＫの合計が１０００以上になるように選んで疲労させる：ターン終了時まで、これは使役された状態になる。）,-,-,-,r_red_infernal.png,れっどいんふぇなる
